1000
38	83
33	84
5	82
4	31
19	2
8	55
39	6
10	77
44	31
64	100
29	30
85	43
100	41
25	29
7	52
91	25
51	82
41	65
78	95
13	94
9	36
25	7
84	20
80	78
82	27
47	94
52	92
83	8
63	74
3	53
37	44
84	88
71	72
43	37
28	73
12	65
49	72
88	2
67	4
6	69
19	31
99	84
15	49
78	9
82	43
5	28
24	80
58	86
90	74
90	78
77	81
94	6
90	11
98	69
7	75
73	89
59	26
25	47
73	96
33	50
5	13
8	69
28	78
95	83
28	6
29	19
75	59
84	34
64	5
16	48
39	38
37	81
43	85
76	85
68	43
46	57
42	99
32	92
16	99
44	31
79	5
89	90
34	23
22	42
73	36
1	97
35	62
35	48
6	22
97	33
94	42
21	27
14	64
15	44
86	29
76	77
48	33
14	13
1	79
48	47
77	58
18	48
41	10
44	95
29	25
5	1
12	46
13	49
35	78
71	25
12	15
51	86
9	49
84	64
82	28
45	57
36	19
15	76
93	59
38	28
41	94
80	21
10	56
36	12
30	62
70	8
98	86
39	43
54	81
31	94
1	10
39	61
71	91
99	82
70	41
55	99
71	97
29	59
75	69
11	79
89	40
87	18
65	1
62	24
13	7
57	13
91	89
16	21
27	52
55	65
48	24
9	64
77	35
50	89
28	17
66	92
85	32
56	68
93	85
69	66
35	76
37	83
50	88
11	84
20	92
97	86
42	14
88	95
100	14
9	25
50	14
91	93
67	39
74	88
8	64
55	16
14	64
36	11
54	33
53	22
35	22
7	13
26	25
72	25
29	73
32	17
73	35
86	48
77	2
53	81
62	65
58	64
14	68
16	62
21	36
72	43
30	92
18	20
69	32
1	64
35	85
35	83
43	60
85	92
26	94
55	59
31	43
82	35
92	38
76	19
11	71
9	25
18	46
4	9
50	99
49	10
38	29
68	24
11	10
69	77
89	11
42	49
79	12
48	45
40	91
35	63
21	78
64	78
84	44
99	5
30	51
67	37
70	60
33	48
1	31
82	90
26	57
15	7
58	54
54	47
10	10
68	85
93	59
18	59
82	58
26	30
84	29
31	97
40	89
83	63
48	25
31	96
41	60
96	95
51	41
64	91
23	12
83	81
23	23
93	73
90	13
69	39
47	13
73	99
78	54
59	11
81	23
87	72
5	64
74	15
34	71
40	5
18	74
59	2
48	79
30	3
54	17
3	88
25	42
55	76
30	56
100	90
96	27
43	25
96	6
4	53
99	100
55	12
50	45
18	56
6	71
95	18
99	30
66	13
75	68
56	77
75	89
91	36
100	44
10	42
57	46
51	19
95	95
27	72
67	2
4	81
45	13
21	15
54	67
52	73
69	84
69	17
52	36
74	44
2	56
43	69
96	72
22	51
57	82
41	40
4	5
88	71
30	83
80	11
33	42
89	73
38	87
64	63
95	98
48	2
58	76
27	45
69	12
64	74
24	70
67	10
56	37
38	7
4	3
79	73
42	70
2	88
3	10
56	2
77	48
98	32
99	55
56	96
82	76
83	56
61	75
14	14
36	71
5	98
10	93
29	60
75	86
85	25
9	49
92	33
74	31
87	97
68	96
22	15
99	89
94	4
74	79
54	59
44	65
7	87
85	21
74	42
12	70
87	55
23	70
47	3
100	30
40	91
82	51
55	77
36	6
88	84
69	79
21	60
68	93
25	71
53	58
96	39
45	63
32	39
24	44
38	18
88	63
23	30
70	80
34	45
64	47
23	14
45	29
40	42
77	62
37	86
70	87
50	6
39	87
79	68
56	9
11	14
70	93
42	40
100	29
92	24
74	87
69	82
70	43
57	11
77	59
56	22
66	90
44	36
74	97
16	40
23	42
77	58
65	90
44	90
38	70
44	68
68	71
84	80
4	54
19	25
36	27
65	57
27	86
50	42
10	81
35	5
98	86
94	81
51	86
88	79
84	74
45	20
71	75
6	96
48	100
81	39
82	18
74	73
11	73
33	35
37	50
23	7
66	49
47	87
27	67
1	45
55	36
52	20
65	49
73	43
85	87
62	18
77	92
58	53
72	27
38	33
96	88
