100
12	61
77	90
36	88
9	94
21	49
53	82
69	60
16	52
44	46
95	34
20	79
97	13
27	57
92	54
70	46
50	14
23	65
34	91
10	43
74	50
83	31
4	70
2	75
14	50
12	85
37	70
34	55
49	94
59	70
49	75
21	54
64	67
5	3
77	72
46	49
93	32
43	73
15	11
26	44
11	18
3	5
90	12
55	67
71	18
90	30
43	40
34	79
31	53
6	38
45	86
62	42
8	82
3	70
20	53
49	85
90	99
66	48
73	77
26	17
49	31
79	16
81	71
33	99
44	64
57	83
48	35
49	72
73	14
72	75
71	33
16	31
58	89
56	9
48	98
29	55
39	44
39	47
22	83
27	91
65	13
41	15
86	33
23	74
43	90
19	7
54	31
18	33
59	27
47	66
6	17
94	6
92	65
25	76
95	40
56	17
29	39
71	80
55	53
96	5
88	57
